point,cell,grid,lat,lon
463,1398,smos,64.375,11.25
464,1398,smos,64.253998,11.25
465,1398,smos,64.135002,11.25
467,1398,smos,63.893002,11.25
469,1398,smos,63.651001,11.25
470,1398,smos,63.529999,11.25
471,1398,smos,63.409,11.25
472,1398,smos,63.290001,11.25
473,1398,smos,63.167999,11.25
474,1398,smos,63.048,11.25
475,1398,smos,62.928001,11.25
476,1398,smos,62.806999,11.25
477,1398,smos,62.687,11.25
478,1398,smos,62.568001,11.25
479,1398,smos,62.448002,11.25
480,1398,smos,62.327,11.25
481,1398,smos,62.208,11.25
482,1398,smos,62.088001,11.25
483,1398,smos,61.966999,11.25
484,1398,smos,61.847,11.25
977,1398,smos,64.195999,10.951
978,1398,smos,64.074997,10.951
979,1398,smos,63.955002,10.953
980,1398,smos,63.833,10.954
982,1398,smos,63.591999,10.956
983,1398,smos,63.472,10.958
984,1398,smos,63.352001,10.958
985,1398,smos,63.230999,10.96
986,1398,smos,63.111,10.961
987,1398,smos,62.991001,10.961
988,1398,smos,62.869999,10.963
989,1398,smos,62.75,10.963
990,1398,smos,62.631001,10.965
991,1398,smos,62.511002,10.965
992,1398,smos,62.389999,10.967
993,1398,smos,62.27,10.968
994,1398,smos,62.151001,10.968
995,1398,smos,62.029999,10.97
996,1398,smos,61.91,10.97
1496,1398,smos,63.414001,10.666
1497,1398,smos,63.292999,10.668
1498,1398,smos,63.173,10.67
1499,1398,smos,63.053001,10.673
1500,1398,smos,62.931999,10.675
1501,1398,smos,62.812,10.677
1502,1398,smos,62.693001,10.678
1503,1398,smos,62.573002,10.68
1504,1398,smos,62.452,10.682
1505,1398,smos,62.333,10.685
1506,1398,smos,62.213001,10.687
1507,1398,smos,62.094002,10.689
1508,1398,smos,61.973,10.69
2012,1398,smos,62.993999,10.385
2013,1398,smos,62.875,10.387
2014,1398,smos,62.755001,10.39
2015,1398,smos,62.633999,10.394
2016,1398,smos,62.514,10.397
2017,1398,smos,62.395,10.399
2018,1398,smos,62.275002,10.402
2019,1398,smos,62.154999,10.406
2020,1398,smos,62.035,10.409
2021,1398,smos,61.916,10.411
2530,1398,smos,62.337002,10.119
2531,1398,smos,62.216,10.123
2532,1398,smos,62.097,10.126
2533,1398,smos,61.978001,10.13
4018944,1398,smos,62.631001,11.534
4019456,1398,smos,62.75,11.536
4019968,1398,smos,62.869999,11.536
4020480,1398,smos,62.991001,11.538
4020992,1398,smos,63.111,11.538
4021504,1398,smos,63.230999,11.539
4022015,1398,smos,63.414001,11.833
4022016,1398,smos,63.352001,11.541
4022527,1398,smos,63.534,11.836
4022528,1398,smos,63.472,11.541
4023039,1398,smos,63.653999,11.838
4023040,1398,smos,63.591999,11.543
4023551,1398,smos,63.776001,11.84
4023552,1398,smos,63.714001,11.545
4024063,1398,smos,63.895,11.843
4024064,1398,smos,63.833,11.545
4024574,1398,smos,64.078003,12.144
4024575,1398,smos,64.015999,11.845
4024576,1398,smos,63.955002,11.546
4025086,1398,smos,64.196999,12.147
4025087,1398,smos,64.137001,11.847
4025088,1398,smos,64.074997,11.548
4025598,1398,smos,64.319,12.151
4025599,1398,smos,64.258003,11.85
4025600,1398,smos,64.195999,11.548
4026110,1398,smos,64.440002,12.154
4026111,1398,smos,64.377998,11.852
4026112,1398,smos,64.318001,11.55
4026622,1398,smos,64.559998,12.157
4026623,1398,smos,64.5,11.854
4026624,1398,smos,64.439003,11.55
4027133,1398,smos,64.740997,12.468
4027645,1398,smos,64.861,12.473
4027646,1398,smos,64.802002,12.166
4027647,1398,smos,64.740997,11.859
4028157,1398,smos,64.983002,12.479
4028158,1398,smos,64.921997,12.168
4028159,1398,smos,64.862,11.862
4028671,1398,smos,64.984001,11.864
4028672,1398,smos,64.921997,11.555
4029181,1399,smos,65.223999,12.489
4029182,1399,smos,65.166,12.177
4029692,1399,smos,65.404999,12.809
4029693,1399,smos,65.347,12.494
4029694,1399,smos,65.287003,12.18
4030204,1399,smos,65.527,12.814
4030206,1399,smos,65.406998,12.185
4030716,1399,smos,65.648003,12.821
4030717,1399,smos,65.587997,12.503
4031228,1399,smos,65.767998,12.828
4031229,1399,smos,65.709,12.51
4031740,1399,smos,65.889,12.835
4032251,1399,smos,66.069,13.164
4032252,1399,smos,66.012001,12.842
4032253,1399,smos,65.953003,12.52
4032765,1399,smos,66.073997,12.526
4033275,1399,smos,66.313004,13.182
4033277,1399,smos,66.195,12.531
4033787,1399,smos,66.432999,13.189
974,1398,smos,64.558998,10.946
975,1398,smos,64.439003,10.949
1488,1398,smos,64.377998,10.647
4570,1362,smos,63.532001,8.901
4571,1362,smos,63.410999,8.909
4572,1362,smos,63.292,8.918
4573,1362,smos,63.173,8.927
5081,1362,smos,63.709,8.592
5083,1362,smos,63.470001,8.611
5084,1362,smos,63.348999,8.621
5085,1362,smos,63.23,8.63
5086,1362,smos,63.111,8.64
5087,1362,smos,62.992001,8.649
5088,1362,smos,62.873001,8.657
5089,1362,smos,62.751999,8.666
5090,1362,smos,62.632999,8.677
5599,1362,smos,63.048,8.354
5601,1362,smos,62.811001,8.373
5602,1362,smos,62.692001,8.383
5603,1362,smos,62.570999,8.394
5604,1362,smos,62.452,8.404
5605,1362,smos,62.333,8.413
5606,1362,smos,62.215,8.423
5607,1362,smos,62.097,8.432
5608,1362,smos,61.978001,8.442
6112,1362,smos,62.986,8.069
6113,1362,smos,62.868,8.079
6114,1362,smos,62.749001,8.09
6115,1362,smos,62.630001,8.102
6116,1362,smos,62.511002,8.112
6117,1362,smos,62.390999,8.123
6118,1362,smos,62.271999,8.133
6119,1362,smos,62.153,8.145
6120,1362,smos,62.035,8.154
6121,1362,smos,61.916,8.166
6122,1362,smos,61.798,8.175
6123,1362,smos,61.68,8.185
6124,1362,smos,61.562,8.196
6125,1362,smos,61.443001,8.206
6126,1362,smos,61.325001,8.215
6627,1362,smos,62.686001,7.809
6628,1362,smos,62.567001,7.82
6629,1362,smos,62.448002,7.831
6630,1362,smos,62.330002,7.843
6631,1362,smos,62.209999,7.855
6632,1362,smos,62.091999,7.867
6633,1362,smos,61.973,7.877
6634,1362,smos,61.855,7.888
6635,1362,smos,61.736,7.9
6636,1362,smos,61.618,7.91
6637,1362,smos,61.5,7.921
6638,1362,smos,61.382,7.933
6639,1362,smos,61.264,7.943
7144,1362,smos,62.147999,7.577
7145,1362,smos,62.028999,7.589
7146,1362,smos,61.910999,7.602
7147,1362,smos,61.792999,7.613
7148,1362,smos,61.674999,7.625
7149,1362,smos,61.556999,7.637
7150,1362,smos,61.438999,7.649
7151,1362,smos,61.320999,7.659
7152,1362,smos,61.202999,7.671
7661,1362,smos,61.612999,7.35
7662,1362,smos,61.494999,7.363
7664,1362,smos,61.258999,7.388
7665,1362,smos,61.143002,7.401
976,1398,smos,64.318001,10.949
1489,1398,smos,64.258003,10.649
1490,1398,smos,64.137001,10.652
1491,1398,smos,64.015999,10.654
1492,1398,smos,63.895,10.656
1493,1398,smos,63.776001,10.659
2002,1398,smos,64.196999,10.352
2003,1398,smos,64.078003,10.355
2004,1398,smos,63.957001,10.359
2005,1398,smos,63.837002,10.362
2006,1398,smos,63.715,10.366
2007,1398,smos,63.596001,10.369
2009,1398,smos,63.354,10.376
2010,1398,smos,63.235001,10.378
2011,1398,smos,63.115002,10.381
2516,1398,smos,64.016998,10.059
2517,1398,smos,63.896,10.064
2518,1398,smos,63.777,10.067
2519,1398,smos,63.654999,10.072
2520,1398,smos,63.535,10.076
2521,1398,smos,63.416,10.081
2522,1398,smos,63.296001,10.086
2523,1398,smos,63.174,10.09
2524,1398,smos,63.055,10.093
2525,1398,smos,62.935001,10.097
2526,1398,smos,62.816002,10.102
2527,1398,smos,62.695,10.107
2528,1398,smos,62.576,10.111
2529,1398,smos,62.456001,10.114
3030,1362,smos,63.834999,9.77
3031,1362,smos,63.715,9.774
3033,1362,smos,63.476002,9.786
3034,1362,smos,63.355,9.791
3035,1362,smos,63.236,9.796
3036,1362,smos,63.116001,9.802
3037,1362,smos,62.994999,9.807
3038,1362,smos,62.875,9.812
3039,1362,smos,62.756001,9.817
3040,1362,smos,62.636002,9.822
3041,1362,smos,62.515999,9.828
3042,1362,smos,62.396,9.833
3043,1362,smos,62.277,9.838
3044,1362,smos,62.158001,9.842
3045,1362,smos,62.039001,9.847
3046,1362,smos,61.918999,9.852
3545,1362,smos,63.534,9.489
3546,1362,smos,63.415001,9.496
3547,1362,smos,63.293999,9.501
3548,1362,smos,63.174,9.508
3549,1362,smos,63.055,9.515
3550,1362,smos,62.936001,9.52
3551,1362,smos,62.816002,9.527
3552,1362,smos,62.695,9.534
3553,1362,smos,62.576,9.539
3554,1362,smos,62.457001,9.545
3555,1362,smos,62.338001,9.55
3556,1362,smos,62.216999,9.557
3557,1362,smos,62.098,9.562
3558,1362,smos,61.979,9.569
4058,1362,smos,63.473,9.199
4059,1362,smos,63.354,9.206
4060,1362,smos,63.234001,9.213
4061,1362,smos,63.115002,9.22
4062,1362,smos,62.993999,9.229
4063,1362,smos,62.875,9.236
4064,1362,smos,62.756001,9.243
4065,1362,smos,62.636002,9.25
4066,1362,smos,62.515999,9.256
4067,1362,smos,62.396,9.263
4068,1362,smos,62.277,9.27
4069,1362,smos,62.159,9.277
4070,1362,smos,62.040001,9.284
4071,1362,smos,61.921001,9.291
4574,1362,smos,63.053001,8.935
4575,1362,smos,62.932999,8.942
4576,1362,smos,62.813,8.951
4577,1362,smos,62.694,8.958
4578,1362,smos,62.576,8.967
4579,1362,smos,62.456001,8.975
4580,1362,smos,62.337002,8.982
4581,1362,smos,62.216999,8.991
4582,1362,smos,62.098,8.998
4583,1362,smos,61.979,9.005
5091,1362,smos,62.514,8.685
5092,1362,smos,62.395,8.694
5093,1362,smos,62.277,8.703
5094,1362,smos,62.158001,8.711
5095,1362,smos,62.039001,8.72
5096,1362,smos,61.918999,8.729
6108,1362,smos,63.464001,8.022
6109,1362,smos,63.345001,8.034
6110,1362,smos,63.223999,8.045
6111,1362,smos,63.105,8.057
971,1398,smos,64.921997,10.944
6624,1362,smos,63.042,7.771
6625,1362,smos,62.923,7.783
6626,1362,smos,62.805,7.796
7137,1362,smos,62.979,7.486
7138,1362,smos,62.861,7.5
7139,1362,smos,62.742001,7.513
7140,1362,smos,62.623001,7.526
7142,1362,smos,62.386002,7.552
7143,1362,smos,62.265999,7.565
7650,1362,smos,62.916,7.203
7651,1362,smos,62.797001,7.217
7653,1362,smos,62.560001,7.245
7654,1362,smos,62.441002,7.258
7655,1362,smos,62.323002,7.272
7656,1362,smos,62.205002,7.285
7657,1362,smos,62.084999,7.3
7658,1362,smos,61.966999,7.313
7659,1362,smos,61.848999,7.326
7660,1362,smos,61.730999,7.339
8169,1362,smos,62.140999,7.007
8170,1362,smos,62.021999,7.022
8171,1362,smos,61.903999,7.037
8172,1362,smos,61.786999,7.05
8173,1362,smos,61.668999,7.064
8174,1362,smos,61.550999,7.078
8175,1362,smos,61.432999,7.091
8176,1362,smos,61.316002,7.104
8177,1362,smos,61.199001,7.117
8178,1362,smos,61.081001,7.13
8179,1362,smos,60.964001,7.143
8688,1362,smos,61.372002,6.818
8689,1362,smos,61.254002,6.833
8691,1362,smos,60.992001,6.907
8692,1362,smos,60.847,6.967
9204,1362,smos,60.875,6.734
9205,1362,smos,60.729,6.795
8165,1362,smos,62.615002,6.949
8166,1362,smos,62.494999,6.965
8167,1362,smos,62.376999,6.98
8168,1362,smos,62.258999,6.993
8678,1362,smos,62.549999,6.67
8679,1362,smos,62.431,6.685
8680,1362,smos,62.313,6.701
8681,1362,smos,62.195,6.716
8682,1362,smos,62.077,6.73
8683,1362,smos,61.959,6.745
8684,1362,smos,61.841,6.761
8685,1362,smos,61.723999,6.776
8686,1362,smos,61.605999,6.789
8687,1362,smos,61.487999,6.803
9190,1362,smos,62.604,6.373
9191,1362,smos,62.486,6.389
9192,1362,smos,62.368,6.406
9193,1362,smos,62.25,6.422
9194,1362,smos,62.131001,6.439
9195,1362,smos,62.014,6.454
9196,1362,smos,61.896,6.469
9197,1362,smos,61.778,6.486
9198,1362,smos,61.660999,6.5
9199,1362,smos,61.542999,6.517
9200,1362,smos,61.425999,6.532
9201,1362,smos,61.307999,6.546
9203,1362,smos,61.02,6.671
9704,1362,smos,62.421001,6.111
9705,1362,smos,62.304001,6.127
9706,1362,smos,62.186001,6.144
9707,1362,smos,62.068001,6.162
9708,1362,smos,61.951,6.178
9709,1362,smos,61.833,6.195
9710,1362,smos,61.715,6.211
9711,1362,smos,61.597,6.228
9712,1362,smos,61.48,6.243
9713,1362,smos,61.334999,6.308
9714,1362,smos,61.192001,6.372
